Province;Comuni;Posti Letto;Popolazione residente;Superficie comunale (km2);Rapporto Comunale Ricettività;Rapporto Regionale Ricettività;Rapporto Area Rurale;Marginalità SI/NO;Area Rurale SI/NO;Isola Minore;Punteggio Lettera E;;;;;;;;;;;;;;;;
TRAPANI;Alcamo; 	494 ;44659; 	130,90 ;3,774; 	8,48   ;341,181602672675;SI;NO;;3;;;;;;;;;;;;;;;;
TRAPANI;Buseto Palizzolo; 	249 ;2.745; 	72,81 ;3,420; 	8,48   ;37,7007099270296;SI;SI;;6;;;;;;;;;;;;;;;;
TRAPANI;Calatafimi-Segesta; 	183 ;6.066; 	154,86 ;1,182; 	8,48   ;39,16990284366;SI;SI;;6;;;;;;;;;;;;;;;;
TRAPANI;Campobello di Mazara; 	820 ;11.340; 	65,83 ;12,456; 	8,48   ;172,253775076671;NO;NO;;0;;;;;;;;;;;;;;;;
TRAPANI;Castellammare del Golfo; 	2.583 ;14.691; 	127,32 ;20,287; 	8,48   ;115,38452476043;NO;SI;;3;;;;;;;;;;;;;;;;
TRAPANI;Castelvetrano; 	3.985 ;29.281; 	209,76 ;18,998; 	8,48   ;139,592868039664;NO;SI;;3;;;;;;;;;;;;;;;;
TRAPANI;Custonaci; 	663 ;5.258; 	69,90 ;9,485; 	8,48   ;75,2199159677089;NO;SI;;3;;;;;;;;;;;;;;;;
TRAPANI;Erice; 	1.062 ;26.010; 	47,34 ;22,432; 	8,48   ;549,397162820957;NO;NO;;0;;;;;;;;;;;;;;;;
TRAPANI;Favignana; 	3.737 ;4.512; 	38,32 ;97,533; 	8,48   ;117,759438763526;NO;SI;SI;6;;;;;;;;;;;;;;;;
TRAPANI;Gibellina; 	31 ;3.676; 	46,57 ;0,666; 	8,48   ;78,9273100086957;SI;SI;;6;;;;;;;;;;;;;;;;
TRAPANI;Marsala; 	2.395 ;79.835; 	243,26 ;9,845; 	8,48   ;328,185653557465;NO;NO;;0;;;;;;;;;;;;;;;;
TRAPANI;Mazara del Vallo; 	1.437 ;50.029; 	274,64 ;5,232; 	8,48   ;182,164159295419;SI;NO;;3;;;;;;;;;;;;;;;;
TRAPANI;Misiliscemi; 	316 ;8.491;93;3,398; 	8,48   ;91;SI;SI;;6;;;;;;;;;;;;;;;;
TRAPANI;Paceco; 	312 ;10.635; 	58,01 ;5,379; 	8,48   ;183,336149027206;SI;NO;;3;;;;;;;;;;;;;;;;
TRAPANI;Pantelleria; 	1.687 ;7.268; 	84,53 ;19,957; 	8,48   ;85,9788672745598;NO;SI;SI;6;;;;;;;;;;;;;;;;
TRAPANI;Partanna; 	43 ;9.788; 	82,73 ;0,520; 	8,48   ;118,316158472092;SI;SI;;6;;;;;;;;;;;;;;;;
TRAPANI;Poggioreale; 	24 ;1.292; 	37,46 ;0,641; 	8,48   ;34,4923326641322;SI;SI;;6;;;;;;;;;;;;;;;;
TRAPANI;Salaparuta; 	8 ;1.552; 	41,42 ;0,193; 	8,48   ;37,4734402163415;SI;SI;;6;;;;;;;;;;;;;;;;
